depot,lng,lat
WHANGAREI,174.3094016,-35.7478701
DUNEDIN,170.5034536,-45.8895713
AUCKLAND,174.792107,-36.973468
HAMILTON,175.279253,-37.787001
TAURANGA,176.177918,-37.687797

